# Test Configs
# - test: real weight redundancy test
# - model: resnet18
# - step range: 16
# - max iter: None


# conv1                           type: ConvReLU2d       C:   3  OC:  64  (W, H): (226, 226)  (FW, FH): (7, 7)  S: 2  P: 3  (OW, OH): (113, 113)
# layer1.0.conv1                  type: ConvReLU2d       C:  64  OC:  64  (W, H): (57, 57)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (57, 57)
# layer1.0.conv2                  type: Conv2d           C:  64  OC:  64  (W, H): (57, 57)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (57, 57)
# layer1.1.conv1                  type: ConvReLU2d       C:  64  OC:  64  (W, H): (57, 57)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (57, 57)
# layer1.1.conv2                  type: Conv2d           C:  64  OC:  64  (W, H): (57, 57)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (57, 57)
# layer2.0.conv1                  type: ConvReLU2d       C:  64  OC: 128  (W, H): (57, 57)  (FW, FH): (3, 3)  S: 2  P: 1  (OW, OH): (29, 29)
# layer2.0.conv2                  type: Conv2d           C: 128  OC: 128  (W, H): (29, 29)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (29, 29)
# layer2.1.conv1                  type: ConvReLU2d       C: 128  OC: 128  (W, H): (29, 29)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (29, 29)
# layer2.1.conv2                  type: Conv2d           C: 128  OC: 128  (W, H): (29, 29)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (29, 29)
# layer3.0.conv1                  type: ConvReLU2d       C: 128  OC: 256  (W, H): (29, 29)  (FW, FH): (3, 3)  S: 2  P: 1  (OW, OH): (15, 15)
# layer3.0.conv2                  type: Conv2d           C: 256  OC: 256  (W, H): (15, 15)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (15, 15)
# layer3.1.conv1                  type: ConvReLU2d       C: 256  OC: 256  (W, H): (15, 15)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (15, 15)
# layer3.1.conv2                  type: Conv2d           C: 256  OC: 256  (W, H): (15, 15)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (15, 15)
# layer4.0.conv1                  type: ConvReLU2d       C: 256  OC: 512  (W, H): (15, 15)  (FW, FH): (3, 3)  S: 2  P: 1  (OW, OH): (8, 8)
# layer4.0.conv2                  type: Conv2d           C: 512  OC: 512  (W, H): (8, 8)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (8, 8)
# layer4.1.conv1                  type: ConvReLU2d       C: 512  OC: 512  (W, H): (8, 8)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (8, 8)
# layer4.1.conv2                  type: Conv2d           C: 512  OC: 512  (W, H): (8, 8)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (8, 8)


layer name                    , total               , matched                       , stride exception              , out of index exception        , step range exception          , unknown exception             
conv1                         ,            120130752,                        5004069,                       63947152,                         234913,                        7798167,                              0
layer1.0.conv1                ,            119771136,                       30856200,                              0,                        2108065,                       38568968,                              0
layer1.0.conv2                ,            119771136,                       25034527,                              0,                        1971346,                       39533647,                              0
layer1.1.conv1                ,            119771136,                       24917337,                              0,                        1963263,                       39662169,                              0
layer1.1.conv2                ,            119771136,                       24868867,                              0,                        1935627,                       39735026,                              0
layer2.0.conv1                ,             62005248,                        2661217,                       29404724,                         206112,                        2175307,                              0
layer2.0.conv2                ,            124010496,                       24296837,                              0,                        4132337,                       40466387,                              0
layer2.1.conv1                ,            124010496,                       24997060,                              0,                        4026451,                       39872891,                              0
layer2.1.conv2                ,            124010496,                       25220799,                              0,                        3949729,                       39725033,                              0
layer3.0.conv1                ,             66355200,                        2948230,                       31598775,                         405719,                        1912626,                              0
layer3.0.conv2                ,            132710400,                       29412649,                              0,                        8123790,                       36192686,                              0
layer3.1.conv1                ,            132710400,                       30124045,                              0,                        7905945,                       35699135,                              0
layer3.1.conv2                ,            132710400,                       30587308,                              0,                        7809247,                       35331445,                              0
layer4.0.conv1                ,             75497472,                        4387692,                       35965632,                         840245,                         749727,                              0
layer4.0.conv2                ,            150994944,                       48950708,                              0,                       17183005,                       17752623,                              0
layer4.1.conv1                ,            150994944,                       51247100,                              0,                       16773681,                       15865875,                              0
layer4.1.conv2                ,            150994944,                       51702712,                              0,                       16654522,                       15546318,                              0
