# Model Name: GoogLeNet

layer name                    ,  no step,   step16,   step32,   step64,  step128,  step256
conv1.conv                    ,    12.82,     5.13,     5.38,     5.50,     6.20,     8.66
conv2.conv                    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
conv3.conv                    ,    53.82,    20.08,    20.84,    24.61,    36.80,    45.36
inception3a.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception3a.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception3a.branch2.1.conv    ,    52.10,    20.02,    24.16,    36.15,    44.46,    48.63
inception3a.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception3a.branch3.1.conv    ,    52.05,    20.24,    24.19,    35.58,    44.18,    48.49
inception3a.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception3b.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception3b.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception3b.branch2.1.conv    ,    52.17,    19.47,    23.72,    36.16,    44.50,    48.69
inception3b.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception3b.branch3.1.conv    ,    52.20,    20.73,    24.84,    36.70,    44.78,    48.83
inception3b.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4a.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4a.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4a.branch2.1.conv    ,    48.90,    22.52,    34.61,    42.75,    46.18,    48.90
inception4a.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4a.branch3.1.conv    ,    48.99,    23.87,    35.03,    42.99,    46.34,    48.99
inception4a.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4b.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4b.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4b.branch2.1.conv    ,    48.88,    23.10,    34.91,    42.86,    46.22,    48.88
inception4b.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4b.branch3.1.conv    ,    48.92,    24.20,    35.50,    43.13,    46.38,    48.92
inception4b.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4c.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4c.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4c.branch2.1.conv    ,    48.99,    23.44,    35.27,    43.08,    46.38,    48.99
inception4c.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4c.branch3.1.conv    ,    48.70,    23.93,    35.17,    42.87,    46.13,    48.70
inception4c.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4d.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4d.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4d.branch2.1.conv    ,    48.92,    24.69,    35.94,    43.32,    46.47,    48.92
inception4d.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4d.branch3.1.conv    ,    48.98,    24.89,    36.02,    43.38,    46.53,    48.98
inception4d.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4e.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4e.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4e.branch2.1.conv    ,    48.90,    26.36,    36.85,    43.68,    46.62,    48.90
inception4e.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception4e.branch3.1.conv    ,    48.99,    25.43,    36.38,    43.54,    46.61,    48.99
inception4e.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception5a.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception5a.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception5a.branch2.1.conv    ,    42.55,    32.74,    38.08,    42.55,    42.55,    42.55
inception5a.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception5a.branch3.1.conv    ,    42.39,    32.61,    37.94,    42.39,    42.39,    42.39
inception5a.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception5b.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception5b.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception5b.branch2.1.conv    ,    41.58,    31.07,    36.74,    41.58,    41.58,    41.58
inception5b.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
inception5b.branch3.1.conv    ,    41.50,    30.71,    36.51,    41.50,    41.50,    41.50
inception5b.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
overall ratio                 ,    35.49,    15.29,    18.91,    23.90,    29.04,    32.54



# Model Name: ResNet18

layer name                    ,  no step,   step16,   step32,   step64,  step128,  step256
conv1                         ,    10.66,     4.22,     4.42,     4.52,     5.12,     7.21
layer1.0.conv1                ,    57.93,    26.01,    26.93,    30.70,    42.30,    50.16
layer1.0.conv2                ,    53.88,    21.11,    21.89,    25.65,    37.66,    45.81
layer1.1.conv1                ,    53.89,    21.01,    21.78,    25.55,    37.59,    45.78
layer1.1.conv2                ,    53.91,    20.97,    21.71,    25.52,    37.71,    45.85
layer2.0.conv1                ,     7.79,     4.32,     4.87,     6.35,     7.09,     7.47
layer2.0.conv2                ,    52.11,    19.73,    23.91,    36.04,    44.42,    48.62
layer2.0.downsample.0         ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
layer2.1.conv1                ,    52.20,    20.30,    24.48,    36.57,    44.71,    48.80
layer2.1.conv2                ,    52.26,    20.48,    24.67,    36.80,    44.85,    48.89
