# Test Configs
# - test: real weight redundancy test
# - model: resnet18
# - step range: None
# - max iter: None


# conv1                           type: ConvReLU2d       C:   3  OC:  64  (W, H): (224, 224)  (FW, FH): (7, 7)  S: 2  P: 3  (OW, OH): (112, 112)
# layer1.0.conv1                  type: ConvReLU2d       C:  64  OC:  64  (W, H): (56, 56)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (56, 56)
# layer1.0.conv2                  type: Conv2d           C:  64  OC:  64  (W, H): (56, 56)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (56, 56)
# layer1.1.conv1                  type: ConvReLU2d       C:  64  OC:  64  (W, H): (56, 56)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (56, 56)
# layer1.1.conv2                  type: Conv2d           C:  64  OC:  64  (W, H): (56, 56)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (56, 56)
# layer2.0.conv1                  type: ConvReLU2d       C:  64  OC: 128  (W, H): (56, 56)  (FW, FH): (3, 3)  S: 2  P: 1  (OW, OH): (28, 28)
# layer2.0.conv2                  type: Conv2d           C: 128  OC: 128  (W, H): (28, 28)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (28, 28)
# layer2.0.downsample.0           type: Conv2d           C:  64  OC: 128  (W, H): (56, 56)  (FW, FH): (1, 1)  S: 2  P: 0  (OW, OH): (28, 28)
# layer2.1.conv1                  type: ConvReLU2d       C: 128  OC: 128  (W, H): (28, 28)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (28, 28)
# layer2.1.conv2                  type: Conv2d           C: 128  OC: 128  (W, H): (28, 28)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (28, 28)
# layer3.0.conv1                  type: ConvReLU2d       C: 128  OC: 256  (W, H): (28, 28)  (FW, FH): (3, 3)  S: 2  P: 1  (OW, OH): (14, 14)
# layer3.0.conv2                  type: Conv2d           C: 256  OC: 256  (W, H): (14, 14)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (14, 14)
# layer3.0.downsample.0           type: Conv2d           C: 128  OC: 256  (W, H): (28, 28)  (FW, FH): (1, 1)  S: 2  P: 0  (OW, OH): (14, 14)
# layer3.1.conv1                  type: ConvReLU2d       C: 256  OC: 256  (W, H): (14, 14)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (14, 14)
# layer3.1.conv2                  type: Conv2d           C: 256  OC: 256  (W, H): (14, 14)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (14, 14)
# layer4.0.conv1                  type: ConvReLU2d       C: 256  OC: 512  (W, H): (14, 14)  (FW, FH): (3, 3)  S: 2  P: 1  (OW, OH): (7, 7)
# layer4.0.conv2                  type: Conv2d           C: 512  OC: 512  (W, H): (7, 7)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (7, 7)
# layer4.0.downsample.0           type: Conv2d           C: 256  OC: 512  (W, H): (14, 14)  (FW, FH): (1, 1)  S: 2  P: 0  (OW, OH): (7, 7)
# layer4.1.conv1                  type: ConvReLU2d       C: 512  OC: 512  (W, H): (7, 7)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (7, 7)
# layer4.1.conv2                  type: Conv2d           C: 512  OC: 512  (W, H): (7, 7)  (FW, FH): (3, 3)  S: 1  P: 1  (OW, OH): (7, 7)


layer name                    , total               , matched                       , stride exception              , out of index exception        , step range exception          , unknown exception             
conv1                         ,            118013952,                       12993727,                              0,                              0,                         383618,                       62250431
layer1.0.conv1                ,            115605504,                       66982598,                              0,                              0,                         771195,                        1291519
layer1.0.conv2                ,            115605504,                       62295584,                              0,                              0,                         798447,                        1131249
layer1.1.conv1                ,            115605504,                       62306378,                              0,                              0,                         802015,                        1120023
layer1.1.conv2                ,            115605504,                       62330178,                              0,                              0,                         797079,                        1098023
layer2.0.conv1                ,             57802752,                        4643797,                              0,                              0,                         396137,                       27072706
layer2.0.conv2                ,            115605504,                       60266079,                              0,                              0,                        1670724,                        2289261
layer2.0.downsample.0         ,              6422528,                              0,                              0,                              0,                              0,                              0
layer2.1.conv1                ,            115605504,                       60367553,                              0,                              0,                        1622185,                        2237110
layer2.1.conv2                ,            115605504,                       60440150,                              0,                              0,                        1603418,                        2182496
layer3.0.conv1                ,             57802752,                        4513012,                              0,                              0,                         744318,                       26856486
layer3.0.conv2                ,            115605504,                       56767280,                              0,                              0,                        3190659,                        4268321
layer3.0.downsample.0         ,              6422528,                              0,                              0,                              0,                              0,                              0
layer3.1.conv1                ,            115605504,                       56963875,                              0,                              0,                        3113452,                        4148933
layer3.1.conv2                ,            115605504,                       57051870,                              0,                              0,                        3067018,                        4106392
layer4.0.conv1                ,             57802752,                        4541172,                              0,                              0,                        1345295,                       26226369
layer4.0.conv2                ,            115605504,                       49746469,                              0,                              0,                        6318699,                        8160308
layer4.0.downsample.0         ,              6422528,                              0,                              0,                              0,                              0,                              0
layer4.1.conv1                ,            115605504,                       50109321,                              0,                              0,                        5801280,                        8315120
layer4.1.conv2                ,            115605504,                       50228869,                              0,                              0,                        5708384,                        8301404
