# Model Name: GoogLeNet

layer name                    ,  no step,   step32,   step64,  step128,  step256
conv1.conv                    ,    13.04,     5.50,     5.64,     6.39,     8.87
conv2.conv                    ,     0.00,     0.00,     0.00,     0.00,     0.00
conv3.conv                    ,    53.83,    20.84,    24.61,    36.81,    45.37
inception3a.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00
inception3a.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception3a.branch2.1.conv    ,    52.12,    24.18,    36.16,    44.48,    48.65
inception3a.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception3a.branch3.1.conv    ,    52.07,    24.21,    35.60,    44.20,    48.51
inception3a.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception3b.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00
inception3b.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception3b.branch2.1.conv    ,    52.19,    23.73,    36.17,    44.52,    48.70
inception3b.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception3b.branch3.1.conv    ,    52.22,    24.86,    36.72,    44.80,    48.85
inception3b.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4a.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4a.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4a.branch2.1.conv    ,    48.99,    34.68,    42.82,    46.27,    48.99
inception4a.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4a.branch3.1.conv    ,    49.09,    35.11,    43.06,    46.44,    49.09
inception4a.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4b.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4b.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4b.branch2.1.conv    ,    48.97,    34.98,    42.94,    46.32,    48.97
inception4b.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4b.branch3.1.conv    ,    49.02,    35.58,    43.21,    46.48,    49.02
inception4b.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4c.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4c.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4c.branch2.1.conv    ,    49.08,    35.35,    43.15,    46.48,    49.08
inception4c.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4c.branch3.1.conv    ,    48.81,    35.25,    42.95,    46.24,    48.81
inception4c.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4d.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4d.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4d.branch2.1.conv    ,    49.02,    36.02,    43.40,    46.57,    49.02
inception4d.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4d.branch3.1.conv    ,    49.08,    36.10,    43.46,    46.63,    49.08
inception4d.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4e.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4e.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4e.branch2.1.conv    ,    49.00,    36.94,    43.77,    46.73,    49.00
inception4e.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception4e.branch3.1.conv    ,    49.10,    36.47,    43.62,    46.71,    49.10
inception4e.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception5a.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00
inception5a.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception5a.branch2.1.conv    ,    42.99,    38.52,    42.99,    42.99,    42.99
inception5a.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception5a.branch3.1.conv    ,    42.85,    38.39,    42.85,    42.85,    42.85
inception5a.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception5b.branch1.conv      ,     0.00,     0.00,     0.00,     0.00,     0.00
inception5b.branch2.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception5b.branch2.1.conv    ,    42.08,    37.24,    42.08,    42.08,    42.08
inception5b.branch3.0.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
inception5b.branch3.1.conv    ,    42.00,    37.01,    42.00,    42.00,    42.00
inception5b.branch4.1.conv    ,     0.00,     0.00,     0.00,     0.00,     0.00
overall ratio                 ,    35.55,    18.96,    23.95,    29.10,    32.60



# Model Name: ResNet18

layer name                    ,  no step,   step32,   step64,  step128,  step256
conv1                         ,    11.01,     4.68,     4.80,     5.44,     7.56
layer1.0.conv1                ,    57.94,    26.93,    30.70,    42.30,    50.16
layer1.0.conv2                ,    53.89,    21.89,    25.66,    37.67,    45.82
layer1.1.conv1                ,    53.90,    21.79,    25.55,    37.60,    45.79
layer1.1.conv2                ,    53.92,    21.72,    25.52,    37.71,    45.86
layer2.0.conv1                ,     8.03,     5.12,     6.60,     7.34,     7.71
layer2.0.conv2                ,    52.13,    23.93,    36.06,    44.44,    48.64
layer2.0.downsample.0         ,     0.00,     0.00,     0.00,     0.00,     0.00
layer2.1.conv1                ,    52.22,    24.50,    36.59,    44.73,    48.81
layer2.1.conv2                ,    52.28,    24.69,    36.82,    44.87,    48.91
layer3.0.conv1                ,     7.81,     6.54,     7.25,     7.57,     7.81
layer3.0.conv2                ,    49.10,    35.40,    43.19,    46.51,    49.10
layer3.0.downsample.0         ,     0.00,     0.00,     0.00,     0.00,     0.00
layer3.1.conv1                ,    49.27,    35.85,    43.48,    46.73,    49.27
layer3.1.conv2                ,    49.35,    36.12,    43.63,    46.85,    49.35
layer4.0.conv1                ,     7.86,     7.39,     7.86,     7.86,     7.86
layer4.0.conv2                ,    43.03,    38.20,    43.03,    43.03,    43.03
layer4.0.downsample.0         ,     0.00,     0.00,     0.00,     0.00,     0.00
layer4.1.conv1                ,    43.35,    38.90,    43.35,    43.35,    43.35
layer4.1.conv2                ,    43.45,    39.06,    43.45,    43.45,    43.45
overall ratio                 ,    43.15,    25.71,    31.41,    36.73,    40.22



